Seed,Team,Record
1,Phoenix Suns,64-18
2,Memphis Grizzlies,56-26
3,Golden State Warriors,53-29
4,Miami Heat,53-29
5,Dallas Mavericks,52-30
6,Boston Celtics,51-31
7,Milwaukee Bucks,51-31
8,Philadelphia 76ers,51-31
9,Utah Jazz,49-33
10,Denver Nuggets,48-34
11,Toronto Raptors,48-34
12,Chicago Bulls,46-36
13,Minnesota Timberwolves,46-36
14,Brooklyn Nets,44-38
15,Cleveland Cavaliers,44-38
16,Atlanta Hawks,43-39
17,Charlotte Hornets,43-39
18,Los Angeles Clippers,42-40
19,New York Knicks,37-45
20,New Orleans Pelicans,36-46
21,Washington Wizards,35-47
22,San Antonio Spurs,34-48
23,Los Angeles Lakers,33-49
24,Sacramento Kings,30-52
25,Portland Trail Blazers,27-55
26,Indiana Pacers,25-57
27,Oklahoma City Thunder,24-58
28,Detroit Pistons,23-59
29,Orlando Magic,22-60
30,Houston Rockets,20-62